Gender,Age Group,Educational Degree Level,Major,Most Active Platform,Account Type,Type of Content,Number of Posts Created,Avg Time Spent on Platform (min/day),Number of Likes Given,Number of Likes Received,Number of Comments Made,Number of Comments Received,Number of Shares,Number of Followers,Number of Accounts Followed,Engagement Rate (%),Income in USD,Number of Views,Amount Invested in Advertising (USD)
Male,13-19,Bachelor,Science,Facebook,Non-Profit,Art-Drawing,94,98.66667556340835,193,242,46,58,26,1174.2716568607743,316.61641828873434,66.53280525803787,18944.777076866187,4971,2770.7374977524814
Male,46-51,High School,Social Sciences,LinkedIn,Other,Handmade Craft,97,91.85737443724716,200,271,50,47,23,889.7671253069249,185.98911398097073,23.465186930307482,36699.99873285272,4953,2178.660832729574
Other,20-26,High School,Business,Facebook,Personal,Other,88,113.77973171229635,222,253,37,58,20,1982.7549600468449,220.10703746524723,76.02105221924911,6094.903123663484,5034,892.8070447946907
Other,51+,PhD,Other,TikTok,Other,Educational,87,124.1211851639467,192,256,38,63,17,1717.399780511912,360.01641384599475,32.52762092417024,73617.23751612134,4912,2758.0068368334705
Other,13-19,MD,Science,YouTube,Business,Singing,94,97.30581306142987,204,234,41,71,39,1546.5287361974538,445.9039780095617,44.04816892984142,40815.98247643667,4970,2938.2110982600725
Female,20-26,MD,Business,Twitter,Other,Other,82,149.4124099796678,214,217,51,54,37,1189.62530814064,185.71066655569427,27.43501638553697,13475.931684171566,4919,1122.2241317980875
Other,34-38,Bachelor,Other,Twitter,Non-Profit,Animation,113,131.9911961832367,214,242,55,56,37,2044.684188055466,321.1917793715406,42.36219177212697,25981.271712116766,5086,2960.8241735891334
Female,27-33,Bachelor,Science,YouTube,Business,Other,106,94.88274319183932,182,278,48,56,37,789.6820509755738,244.50595652905267,67.9317365656695,14202.568006420443,5074,2121.4571108844193
Female,34-38,MD,Engineering,TikTok,Personal,Animation,113,104.32784649232886,206,293,59,51,34,1434.5035475869254,217.59299120550287,11.061056130502978,17720.235521645383,5027,2487.380481314833
Other,39-45,PhD,Arts,Instagram,Personal,Singing,91,74.49690910829042,159,241,46,56,31,1991.0731837127216,303.49968060086894,10.520692899301643,33174.97907223322,5017,2504.402241341799
Female,13-19,MD,Arts,Facebook,Influencer,Other,92,82.39977313395492,204,273,43,56,32,503.68578961389244,286.6352798397762,68.3770012088142,50873.8741213906,4890,2288.0563055864263
Other,39-45,PhD,Business,TikTok,Business,Art-Drawing,89,131.62794984637085,188,279,45,61,28,1588.0249527616875,97.53654458702135,77.95811667746075,28482.434215748726,5021,1600.866000429667
Other,27-33,Bachelor,Other,LinkedIn,Influencer,Art-Drawing,99,95.19406331790515,209,265,57,61,37,1169.9214737979594,320.15922947807246,55.1466684712365,1643.273147954911,4984,2499.990290681521
Male,20-26,None,Arts,Other,Business,Handmade Craft,86,174.12853359147277,213,236,54,55,30,1560.5805455909342,332.8095708375196,18.164101406746546,20791.493062355068,5042,2046.0684710208775
Other,27-33,Bachelor,Other,YouTube,Business,Singing,80,122.12769600927427,222,280,51,58,27,1312.7746835173677,374.73217372170274,43.07568483609884,21778.158456200996,4996,2329.4971789431743
Male,<12,Bachelor,Other,Facebook,Non-Profit,Art-Drawing,99,79.41529724688014,221,253,48,64,33,1796.845644803111,242.72945493479014,75.81755223840145,31333.8799577036,5003,1727.1701205745715
Other,27-33,High School,Business,Twitter,Influencer,Other,113,85.69958141797312,197,245,44,53,24,2116.2718931039817,141.21674859661363,68.57331015524998,27885.063532087806,5038,2395.1304598246365
Other,<12,High School,Business,Other,Non-Profit,Singing,99,151.58909084044285,178,260,47,61,19,2756.663187095309,257.8690430267073,10.986547781937006,0.0,5095,1999.5282945850681
Male,27-33,High School,Business,Instagram,Business,Educational,112,117.70459192172777,216,249,64,55,37,1443.3000754389134,370.592616277292,96.9147180958245,16125.87617685014,5017,997.7463573834724
Male,46-51,High School,Arts,LinkedIn,Personal,Animation,87,149.75984479672908,187,255,53,63,29,1868.9863760401215,292.4134180015196,22.33638808863365,13387.661989367396,5010,2536.9168255212153
Other,<12,PhD,Business,Twitter,Business,Other,105,109.00536059765803,199,241,62,73,30,1671.0770319743028,384.93073861824337,22.03895045804547,43461.45158158327,4910,3080.3472317258856
Female,13-19,MD,Arts,YouTube,Non-Profit,Animation,94,103.1930372248947,189,269,52,56,28,1708.0407596741509,169.90967737033918,45.98572477454559,25724.79562228882,4974,2410.6751191422645
Male,39-45,None,Business,Facebook,Influencer,Animation,93,153.58342113103154,203,280,46,57,27,2237.899973791187,381.2097309732382,32.72431290000485,20.833924229860713,4932,1829.4610995811167
Female,51+,Bachelor,Social Sciences,YouTube,Influencer,Singing,96,94.24267868914222,213,263,60,56,31,1157.9033035763002,324.90452966106494,98.3985988644394,16973.991383723103,4959,2408.4252077169317
Female,39-45,PhD,Other,Other,Non-Profit,Singing,99,134.67162400111084,226,246,51,51,24,1320.8575007426207,264.50982202834064,7.648977325413197,47620.339539840556,5093,1340.1308422656887
Female,34-38,None,Business,Facebook,Influencer,Handmade Craft,85,113.64649168795896,175,238,45,63,36,1412.2631706750094,407.03530383429637,30.643919092327753,21013.104006884256,5007,2802.7899859359245
Male,39-45,PhD,Science,TikTok,Other,Animation,100,146.36170240127325,171,240,52,46,29,1007.5756780010785,324.0024174885543,38.2722160427296,19809.442010601713,4941,2894.083656888575
Female,20-26,PhD,Other,Instagram,Personal,Handmade Craft,111,174.554519626074,185,249,51,50,26,1499.262532579983,201.57932603373433,49.34589937219405,27445.540763678222,4894,1974.8869526669107
Male,46-51,Bachelor,Other,TikTok,Personal,Animation,107,108.23466950396973,202,244,54,53,23,1828.984961535118,398.187403575368,1.6406428726948752,33384.06691359248,5081,2135.3364096893333
Female,27-33,MD,Business,TikTok,Personal,Handmade Craft,107,103.58573583610632,187,273,54,60,29,1914.1809787619236,275.8285879194104,8.236213180828056,27859.18191138694,5076,999.931652544334
Other,34-38,High School,Engineering,YouTube,Influencer,Handmade Craft,106,139.97425167112067,209,255,40,59,27,1408.0871442144983,303.69464501392605,25.780964272981155,45347.256416836666,5035,2594.7735791395517
Other,20-26,MD,Business,Other,Influencer,Educational,92,87.53989214390796,222,252,54,68,37,2071.017964551531,213.67064320023292,55.400208168559615,27860.14571788906,4952,1787.665900854456
Male,20-26,Bachelor,Other,Instagram,Business,Handmade Craft,107,168.49396373550104,185,261,43,65,24,463.1087307999667,294.8322342298003,76.77715701934723,40113.97271068721,5030,0.0
Other,<12,Bachelor,Science,Facebook,Business,Singing,92,163.3806765016942,181,260,29,67,29,2662.6910283411953,205.39381837395996,68.64953488149493,32950.312928548745,5010,2131.05896268095
Other,39-45,Bachelor,Other,Facebook,Personal,Handmade Craft,117,90.02641082518709,196,250,46,59,34,1783.6283063126232,282.7806204687363,56.70249127226106,10604.985102350394,5115,1908.1282700847719
Female,13-19,None,Science,LinkedIn,Other,Animation,92,72.5062554177928,185,246,40,55,27,1284.782212954266,303.06796725154305,39.723283972765934,56779.51149125779,4974,1008.1946454593775
Male,51+,MD,Arts,Twitter,Business,Handmade Craft,93,85.18268541431345,204,238,55,63,33,1731.050830726734,360.57741076717747,87.06945022561537,47335.24287241035,5123,2991.6017052086
Female,13-19,MD,Social Sciences,LinkedIn,Business,Art-Drawing,83,85.63891080122647,184,246,51,58,35,1423.6064998484069,159.33909979967558,45.977254325826046,21498.316892791263,5074,1586.7546965306103
Female,34-38,PhD,Other,LinkedIn,Influencer,Travel,107,144.0528169306493,152,238,75,53,35,455.39102483602346,400.2998516909138,29.925280560892997,28333.12120411592,4982,1288.8764568879449
Female,46-51,PhD,Business,Facebook,Other,Animation,109,166.4751094733821,219,221,42,65,24,1523.4528533709122,403.4302239520433,62.93351148520573,39227.89233522271,5066,3123.0637669174857
Female,13-19,PhD,Arts,YouTube,Personal,Art-Drawing,95,143.7037863785647,210,262,41,72,34,1955.7534743035262,281.1010977460285,69.2114996586309,32700.407336956217,5053,2423.1518729795603
Female,27-33,Bachelor,Social Sciences,TikTok,Business,Animation,93,112.91423350150627,178,260,40,65,26,1981.8961271628013,312.90550439787665,39.84702448588554,31605.86910150919,5130,1042.1828312912867
Female,13-19,MD,Business,Other,Other,Singing,114,130.27495400731243,200,286,41,57,27,1625.8488989329817,330.6524043321195,2.814328104591457,37584.00654163114,5061,2007.6341392178795
Female,34-38,Bachelor,Engineering,TikTok,Other,Travel,113,93.90665901584893,216,231,55,60,30,1978.8858156394738,308.33693392974453,9.413150023671058,35301.97381903535,4821,1235.667631119434
Male,51+,None,Business,TikTok,Personal,Travel,101,152.91624136692695,221,226,53,50,28,1717.7199633654645,360.3429387683258,84.55988918936617,35370.246837331266,4908,762.6784738201268
Other,13-19,PhD,Science,Instagram,Other,Singing,95,132.96086819947598,216,236,42,55,34,1611.2879614136853,261.27604890869554,5.654792118530794,31370.315104794787,5012,689.8947834143901
Female,27-33,Bachelor,Science,Facebook,Other,Travel,86,143.1959334604939,209,208,49,58,36,1155.5035343765153,223.9871586782528,59.20196670421323,39583.495912614075,4982,2703.9595526970843
Female,<12,Bachelor,Engineering,Other,Other,Singing,116,98.17392894420674,198,236,37,60,35,1326.3946750619411,342.8168034384337,18.370938544939186,33145.29389084078,4872,1225.9586496341956
Female,46-51,None,Arts,YouTube,Business,Art-Drawing,87,114.9420843939406,199,271,61,49,42,1371.8191575503947,147.41587157917627,22.892629124417706,33522.176726497135,5084,1036.7061446422076
Female,34-38,High School,Social Sciences,Instagram,Personal,Educational,90,141.75219419943608,204,230,46,67,39,1642.7392339970759,361.9044514270962,27.333395973618114,50622.97788141943,5013,1793.9414219374717
Female,<12,MD,Business,Twitter,Other,Animation,80,163.30538698570845,199,239,51,53,22,1901.576599249774,372.258309819245,3.829138619702044,36501.68952120825,4948,4587.1286193337255
Female,<12,High School,Science,YouTube,Other,Singing,96,101.75700721654246,190,244,40,69,32,1192.786431843259,221.77074283213216,17.72352741402924,34958.27024274347,5020,2487.221199036606
Other,<12,PhD,Arts,LinkedIn,Business,Animation,107,143.4135572151246,184,242,64,61,31,804.1195933068726,442.20867046552985,65.04999845139405,16668.164403419927,4922,2840.955552383687
Other,20-26,Bachelor,Engineering,YouTube,Personal,Art-Drawing,111,98.63784610169148,193,225,50,49,26,2219.8804209947657,264.88412121160684,49.871713620800506,17423.740638665113,4968,1072.6040990794675
Female,46-51,None,Other,YouTube,Influencer,Educational,94,183.51581318479828,173,241,52,61,27,1015.6895593699685,256.27592093254646,79.73290857389358,47125.56268452222,5022,2447.980159296446
Other,51+,None,Science,TikTok,Business,Art-Drawing,107,107.55525875182413,202,230,57,48,33,1745.047501271973,234.6478750021836,6.124210655149353,38559.64355526693,5014,2015.361801604541
Male,39-45,MD,Engineering,YouTube,Personal,Travel,95,139.30515522156335,209,237,44,41,36,1626.5917683943683,344.8104235458036,88.8898296251631,43763.41821418583,4986,1316.6721804828328
Female,46-51,High School,Business,LinkedIn,Other,Animation,108,124.96828845700898,199,286,57,50,37,1327.8323370811977,260.86386846767573,99.63985318994727,32965.038352740885,4883,1802.3859316305075
Male,20-26,MD,Social Sciences,LinkedIn,Personal,Other,113,198.1590936408148,211,244,44,67,25,1803.7289002102784,156.286607678802,1.5739972248782985,35962.30219837535,5021,1377.4942206353066
Male,39-45,Bachelor,Science,Facebook,Personal,Educational,89,126.89704824073691,172,242,48,59,37,896.1851028781562,334.1618939003886,96.76400655399333,27813.735154061345,4927,2151.8514179829485
Female,46-51,MD,Science,YouTube,Personal,Travel,107,104.54831931029616,194,269,46,63,47,2315.364832737854,270.8708062815199,23.586271297102,29599.09670754766,5110,1803.4247857876614
Other,<12,None,Business,TikTok,Influencer,Educational,98,139.18519537839188,214,261,68,46,24,2817.438900425793,408.5926109686248,69.2543138206037,23748.269201852207,5110,1379.909858736728
Male,34-38,None,Other,YouTube,Personal,Travel,91,138.5172260032612,192,231,44,73,31,2115.457564127285,330.87672742390697,29.248344310492623,50005.86570986602,4982,1773.4420824434737
Female,39-45,PhD,Arts,Twitter,Influencer,Art-Drawing,111,115.27590408723174,216,269,57,57,26,1094.9545332447085,326.6154820514434,52.181287874752044,19322.870496083888,4949,2886.3938975951132
Male,27-33,PhD,Social Sciences,Twitter,Other,Singing,100,87.15702407315675,197,264,51,61,24,337.15611990699654,401.45070289194757,51.04185098361658,34613.136747912475,4968,862.8680490545346
Male,27-33,Bachelor,Science,TikTok,Influencer,Animation,98,104.1600341582893,212,250,44,72,22,1738.6819369956643,316.00154818262456,36.11054794490721,27650.394376665045,5036,1469.8123075259946
Male,13-19,High School,Social Sciences,Facebook,Other,Handmade Craft,106,146.44496844434758,192,255,45,65,33,853.3137823749702,378.2198567697967,71.75467682883337,44277.13178015454,4912,2342.596295077408
Male,39-45,MD,Science,Facebook,Other,Handmade Craft,98,67.57653161298111,211,262,40,64,23,1293.42038692756,235.01528656574487,59.96364818633143,33414.598850959985,5019,1411.7315971889352
Other,34-38,Bachelor,Social Sciences,LinkedIn,Influencer,Art-Drawing,105,112.5586230184286,199,257,45,62,33,2261.4109779128376,464.6038991409289,50.82770039431757,36922.503509743845,5140,3265.9979063757937
Male,51+,PhD,Engineering,LinkedIn,Business,Animation,105,149.8459176545035,222,267,46,71,27,2311.8409914313415,327.5431622503379,98.28393119182566,33113.681325653146,5064,3156.746829278859
Male,20-26,MD,Science,Instagram,Non-Profit,Animation,97,117.19511342999857,213,251,45,52,29,2365.8328539872373,179.82676802598957,94.00093261873263,15117.471128560985,5041,3209.8595309795737
Male,<12,PhD,Social Sciences,TikTok,Personal,Art-Drawing,91,185.21130418658228,208,261,47,73,36,1549.207262780755,313.7856462269788,95.54358457936615,38255.43658847856,5003,2656.1631906330854
Other,13-19,MD,Arts,YouTube,Non-Profit,Animation,123,67.66049279104044,218,261,49,66,30,1948.2998715937833,318.66661192452665,88.1323959803288,28512.062142516224,5062,2976.9855983723305
Male,27-33,High School,Engineering,Other,Personal,Singing,107,91.15896393241698,209,262,47,72,31,504.27863778612607,312.47955674958894,25.515533875437978,18579.109400163878,4966,2023.881742382537
Male,20-26,Bachelor,Engineering,TikTok,Personal,Art-Drawing,112,50.56098593241636,190,240,61,57,35,750.4227350502839,70.0124048386792,34.9976030978181,8837.236631187436,4902,1434.70230353796
Other,20-26,MD,Arts,Instagram,Other,Singing,106,179.81071700235898,197,212,58,72,28,1355.9021968114932,245.19165572773,23.105461954550787,17740.90179584322,4950,1492.4572589632216
Other,<12,None,Social Sciences,LinkedIn,Personal,Animation,111,91.65038547745108,193,262,53,61,34,1920.6483996484876,161.7149218768051,98.61768872228464,41461.33584826,4902,448.8634491492546
Other,51+,None,Business,TikTok,Personal,Art-Drawing,103,60.39236064815002,207,238,62,63,29,1286.7938599826884,163.1643542970346,15.266186976349116,56428.10755612448,4990,1650.6288405924165
Male,51+,MD,Arts,TikTok,Influencer,Animation,99,101.64242056723697,211,250,46,52,31,1901.3291940541758,316.6418972753493,36.65117555589056,31775.949928072936,5004,1710.0154081680985
Other,39-45,MD,Social Sciences,LinkedIn,Non-Profit,Art-Drawing,104,78.2157267543459,202,239,47,56,25,923.2225842655773,243.91597817064428,19.904442471935646,15049.060337213283,4962,1829.5470270306544
Other,27-33,MD,Arts,Instagram,Influencer,Animation,98,101.85645329083792,204,265,48,64,28,1551.0157083766592,263.626141873006,22.34538121842532,36245.69204249905,4947,4522.414144304172
Male,51+,None,Arts,LinkedIn,Personal,Singing,108,121.23687752834711,189,247,52,47,32,1774.9411851958082,210.50622377896343,24.708788480321154,46160.75125174929,5010,1274.5190564767536
Other,34-38,None,Science,Facebook,Other,Other,110,144.147633121413,221,241,42,48,37,1878.7022698317226,437.9311944779667,63.967067555995406,58818.49644886545,5144,1780.6653483324676
Male,51+,MD,Social Sciences,YouTube,Influencer,Singing,105,114.75993179667186,223,241,44,56,25,1274.219667821051,303.988109710291,7.60493701915278,48961.7268834861,5055,4154.581568819687
Female,20-26,PhD,Business,LinkedIn,Influencer,Animation,103,120.75872098004028,186,258,38,73,25,1514.3312394123795,147.68070075824042,57.252987362378406,33364.04612370238,5082,1311.9091915841575
Other,<12,PhD,Science,Instagram,Business,Art-Drawing,106,102.55214330789609,187,237,50,65,24,729.629491024205,364.40482164216553,81.9286236284103,38626.16584418618,5166,970.5999603429248
Female,34-38,High School,Arts,Twitter,Personal,Handmade Craft,92,74.64905318251023,208,270,51,66,32,1447.4577278692625,265.7477262682951,76.65237766044308,19160.83463526733,5064,1809.181426247553
Male,39-45,Bachelor,Other,Facebook,Other,Singing,102,64.60379271102296,201,247,65,59,31,2040.8395999959787,419.3659061356091,15.117169828232546,41954.24983260382,4986,1308.8431301333512
Other,27-33,PhD,Arts,Twitter,Influencer,Singing,102,109.06542658990917,233,260,45,55,28,1368.5546315080273,299.1886829779639,91.47317347788052,44009.60562993544,5080,3092.3471411107694
Male,39-45,None,Arts,Other,Influencer,Travel,108,122.53919335629641,192,235,44,58,28,1126.0337399940759,230.40977590854538,77.0090381404774,0.0,5047,2150.505516877223
Female,20-26,PhD,Social Sciences,LinkedIn,Other,Handmade Craft,90,106.84156436321247,239,238,43,53,22,1890.713724362713,245.7953533997425,0.5302510932846061,32140.182891406086,4895,906.3878734834902
Male,34-38,High School,Social Sciences,Facebook,Personal,Animation,99,65.72019021415974,209,259,60,62,18,2642.604310830453,259.76171533222083,73.73736335395861,52351.31632271968,4864,2319.2814978052934
Other,34-38,High School,Science,YouTube,Business,Other,100,126.04200279804516,201,246,58,57,29,2586.6352137601393,348.9756226362579,73.74216786219986,19931.495402691493,4968,2193.901803714806
Other,34-38,Bachelor,Business,LinkedIn,Influencer,Art-Drawing,90,168.87914648712942,184,284,39,53,34,1630.7113059503854,221.4899350125497,49.681608053998474,0.0,5079,626.7872885972724
Female,20-26,PhD,Science,YouTube,Business,Travel,82,116.56060459466556,200,257,52,48,39,1885.2515488494316,424.36806593486955,4.598241600637221,29584.95202560874,5006,2446.056944175867
Male,20-26,None,Engineering,TikTok,Non-Profit,Animation,112,102.61408267271753,197,232,59,63,24,2319.3147795954405,336.8569696631492,57.99059382823495,46140.61595646799,4963,2499.3696119380206
Other,39-45,None,Arts,Twitter,Personal,Educational,96,118.18517879269443,161,252,41,64,39,1620.6483491652148,322.4402120392943,76.57467600343092,36009.17010055635,4938,653.882970482987
Female,13-19,MD,Other,Facebook,Non-Profit,Other,90,86.86860466310644,212,242,34,55,27,1730.65738972414,307.3045817486232,27.08740553210006,30404.066814484795,4935,788.29480714073
Other,39-45,None,Arts,YouTube,Non-Profit,Singing,91,84.93302612111555,227,238,48,68,32,1338.5162413465403,297.9898358505937,66.70682182517874,16115.361221218136,5092,1649.9385609700532
Other,27-33,Bachelor,Arts,Instagram,Non-Profit,Educational,92,133.54242264283909,213,285,56,67,30,2683.987395945909,173.0475604915254,35.392619504438194,13526.339489072681,5018,1377.9282755934023
Male,<12,Bachelor,Science,YouTube,Personal,Singing,97,149.70964587096998,191,232,51,57,31,1859.376831445248,329.25333955655447,57.385483290223114,32741.572519405374,5071,2596.421747713349
Other,34-38,None,Other,Instagram,Personal,Singing,110,115.5870494341674,197,261,65,74,28,1366.3647114018227,492.57349101260615,38.45657494316247,29122.056414352017,5049,1567.2594713446022
Male,13-19,None,Other,LinkedIn,Other,Educational,86,60.787048571526995,202,230,33,59,38,1212.3330905734647,369.1821410140088,30.376146601777908,42787.609367520505,5058,1824.0118094343854
Other,<12,MD,Other,Facebook,Business,Other,102,130.6004677960725,226,227,38,53,32,571.3954948595642,343.8455878592935,85.59144754320444,36609.01826374187,4960,941.504190404476
Female,13-19,None,Science,YouTube,Business,Educational,92,182.02146511012344,208,257,55,61,38,709.739576905129,146.50337370579857,75.38382591853767,18854.041605572602,5030,2948.51180221939
Other,51+,MD,Arts,Other,Other,Animation,93,112.68305509655146,180,243,43,65,27,1136.9252413549118,408.61347767459904,34.5449133973149,33841.992760093926,5153,1240.482048878146
Male,51+,MD,Science,YouTube,Other,Travel,113,114.66462673789731,220,235,41,60,22,1964.1636434796135,380.2502124658022,43.46316416152089,31356.329682690426,5049,968.2131358094966
Male,46-51,None,Social Sciences,Other,Non-Profit,Travel,94,93.82099409658186,217,265,61,57,40,1663.0566144698944,416.74277708648265,69.1703417875346,5038.23366173383,5139,2051.707848191757
Female,51+,High School,Social Sciences,Facebook,Other,Educational,86,134.4406199368023,183,253,47,65,25,872.5985004795341,209.61432806242607,81.10787805905092,23713.04685089166,4898,3073.6414873768126
Other,39-45,High School,Science,YouTube,Influencer,Animation,100,99.87049606516162,199,263,59,54,26,1036.7412017581905,260.01324975427724,68.43412628247124,30900.965553155038,5011,2452.9746550455393
Other,51+,MD,Other,Instagram,Business,Travel,102,150.64505693005782,194,245,47,58,29,1640.8015187089788,151.4230594406082,54.09315806826383,28299.469586203068,4979,1435.4086071082575
Female,20-26,None,Arts,YouTube,Other,Animation,94,100.27258360544533,199,251,54,75,39,2336.7379245997954,142.99409078755326,95.43858319312717,34736.10676640764,4937,1594.8964057106796
Other,34-38,High School,Science,Twitter,Influencer,Animation,91,130.25374404356893,207,226,47,67,35,949.0200480260978,242.3081733163926,77.41436197415636,31175.25798499624,4970,650.5776921850306
Other,39-45,None,Science,LinkedIn,Influencer,Singing,83,118.6096726182132,199,258,44,55,27,1729.4684033809315,346.77653743169367,11.559186039128866,35110.29787213025,4988,3924.794594266091
Male,<12,None,Science,TikTok,Influencer,Travel,106,166.653348579279,201,250,49,67,32,1277.2840302534373,258.35806974685414,55.813909879201915,32503.05323775722,4926,3551.7224779359512
Other,46-51,None,Engineering,Instagram,Influencer,Travel,104,132.28438158594145,178,226,51,55,30,1291.7907455477555,233.08528087345928,40.95566413956515,29651.58125955065,5093,2288.39493049035
Other,46-51,PhD,Social Sciences,Twitter,Non-Profit,Singing,101,161.61021957374763,196,240,42,62,36,913.2857803619728,333.94361760408617,79.49356367907937,32393.153595546697,4879,1987.8754525728716
Female,46-51,None,Other,Other,Influencer,Educational,98,123.258705023315,183,263,57,66,30,1813.2478825215424,0.0,4.466303385743197,24576.960676621027,4952,873.8719683299303
Female,<12,PhD,Business,LinkedIn,Non-Profit,Singing,107,114.87779098457155,191,252,49,59,19,1256.8550480848623,245.75864293898928,41.07235699624281,23764.69262432754,4915,1854.1477852860476
Male,<12,MD,Other,Facebook,Non-Profit,Travel,109,118.85427691394325,210,248,39,80,35,1324.2352860544686,333.829902570982,31.827631534348587,31475.995946581043,5030,2891.176159894937
Other,<12,High School,Business,Instagram,Influencer,Travel,95,96.85772395868422,215,258,51,60,34,1992.1641413635073,259.65725602341104,14.118598457971832,0.0,5140,2729.307645853595
Other,<12,High School,Engineering,TikTok,Business,Other,98,135.95006351111616,217,266,53,60,33,2018.2522587817543,429.9204679539274,37.8804115319572,24437.41785937907,5102,1549.4001633451314
